uberon_id,mesh_id,uberon_labels,mesh_labels
UBERON_0000043,D013710,sinew; tendo; tendon,"endotenon; endotenons; epotenon; epotenons; para-articular tendon; para-articular tendons; paraarticular tendon; paraarticular tendons; tendon; tendon, para-articular; tendon, paraarticular; tendons; tendons, para articular; tendons, para-articular; tendons, paraarticular"
UBERON_0000044,D005727,dorsal root ganglia; dorsal root ganglion; drg; ganglion of dorsal root; ganglion sensorium nervi spinalis; ganglion spinale; ganglion spinalis; posterior root ganglion; spinal ganglion; spinal ganglion part of peripheral nervous system,"dorsal root ganglia; dorsal root ganglion; ganglia, dorsal root; ganglia, spinal; ganglion, dorsal root; ganglion, spinal; spinal ganglia; spinal ganglion"
UBERON_0000045,D005724,ganglia; ganglion; neural ganglion,ganglia
UBERON_0000052,D020712,brain fornix; cerebral fornix; forebrain fornix; fornix; fornix (column and body of fornix); fornix cerebri; fornix hippocampus; fornix of brain; fornix of neuraxis; hippocampus fornix; neuraxis fornix,"brain fimbria; brain fimbrias; brain fornices; brain fornix; commissura hippocampi; commissura hippocampus; commissure of fornix; commissure, dorsal hippocampal; commissure, fornical; commissure, hippocampal; commissures, dorsal hippocampal; commissures, fornical; commissures, hippocampal; dorsal hippocampal commissure; dorsal hippocampal commissures; fimbria (brain); fimbria fornix; fimbria of hippocampus; fimbria, brain; fimbria-fornices; fimbria-fornix; fimbrias (brain); fimbrias, brain; fornical commissure; fornical commissures; fornices (brain); fornices, brain; fornix (brain); fornix commissure; fornix commissures; fornix fimbria; fornix, brain; fornix-fimbria; fornix-fimbrias; hippocampal commissure; hippocampal commissure, dorsal; hippocampal commissures; hippocampal commissures, dorsal; hippocampi, commissura; hippocampus fimbria; hippocampus fimbrias; hippocampus, commissura"
UBERON_0000053,D008266,macula; macula flava retinae; macula lutea; macula retinae; maculae,"lutea, macula; luteas, macula; macula lutea; macula luteas"
UBERON_0000054,D008267,acoustic macula; acoustic maculae; macula; maculae; sensory macula; sensory patch,"acoustic macula; acoustic maculae; acoustic maculas; macula, acoustic; maculae, acoustic; maculas, acoustic"
UBERON_0000056,D014513,metanephric duct; ureter,ureter; ureters
UBERON_0000057,D014521,urethra,"external urethral sphincter; external urethral sphincters; external urinary sphincter; external urinary sphincters; internal urethral sphincter; internal urethral sphincters; internal urinary sphincter; internal urinary sphincters; internal vesical sphincter; internal vesical sphincters; sphincter, external urethral; sphincter, external urinary; sphincter, internal urethral; sphincter, internal urinary; sphincter, internal vesical; sphincter, urethral; urethra; urethral sphincter; urethral sphincter, external; urethral sphincters; urethras; urinary sphincter, external; urinary sphincter, internal; vesical sphincter, internal"
UBERON_0000059,D007420,intestinum crassum; large intestine,"intestine, large; large intestine"
UBERON_0000061,D000825,anatomical structure; biological structure; connected biological structure,"animal organ; animal organs; animal structure; animal structures; organ, animal; organs, animal; structure, animal; structures, animal"
UBERON_0000074,D007678,glomerular capillary tuft; glomerular tuft; glomerulus; glomerulus renis; malphigian glomerulus; malpighian glomerulus; malpighian tuft; renal corpuscle; renal glomeruli; renal glomerulus,"glomerulus, kidney; kidney glomerulus"
UBERON_0000079,D005837,genitalia of male organism; male genital organ; male genital system; male genital tract; male genitalia; male genitals; male organism genitalia; male organism reproductive system; male reproductive system; male reproductive tract; reproductive system of male organism; systema genitale masculinum,"accessory sex organs, male; genital organs, male; genital, male; genitalia, male; genitals, male; male genital; male genital organs; male genitalia; male genitals; male reproductive system; male reproductive systems; reproductive system, male; reproductive systems, male; sex organs, accessory, male"
UBERON_0000080,D001755,amphibian adult kidney; corpus wolffi; mesonephric kidney; mesonephroi; mesonephros; middle kidney; opisthonephros; opisto nephros; opistonephros; wolffian body,"blastocyst; blastocysts; embryo, preimplantation; embryos, preimplantation; preimplantation embryo; preimplantation embryos"
UBERON_0000080,D008650,amphibian adult kidney; corpus wolffi; mesonephric kidney; mesonephroi; mesonephros; middle kidney; opisthonephros; opisto nephros; opistonephros; wolffian body,"body, wolffian; mesonephroi; mesonephros; wolffian body"
UBERON_0000081,C000729049,definite kidney; definitive kidney; hind kidney; metanephric kidney; metanephron; metanephros,metanephroi; metanephros
UBERON_0000082,D007668,adult mammalian kidney,kidney; kidneys
UBERON_0000084,C000729068,diverticulum; diverticulum metanephricum; gemma ureterica; metanephric bud; metanephric diverticulum; ureteric ampulla; ureteric bud; ureteric diverticulum,ureteric bud outgrowth; metanephric diverticulum; ureteric bud
UBERON_0000085,D009028,morula; morula (2-16 cells),morula; morulas
UBERON_0000086,D015044,oolemma; pellucid zone; striated membrane; vitelline envelope; vitelline membrane; zona pellucida; zona pellucida - vitelline membrane; zona radiata; zona striata,zona pellucida
UBERON_0000088,D014327,massa cellularis externa; trophoblast; trophoblast layer; trophoblastus; trophoderm,cytotrophoblast; cytotrophoblasts; syncytiotrophoblast; syncytiotrophoblasts; trophoblast; trophoblasts
UBERON_0000089,D004707,endomesoderm; future endoderm and mesoderm; hypoblast; hypoblast (generic); hypoblastus; mesendoderm,"definitive endoderm; definitive endoderms; endoderm; endoderm, definitive; endoderms"
UBERON_0000089,D005855,endomesoderm; future endoderm and mesoderm; hypoblast; hypoblast (generic); hypoblastus; mesendoderm,"epiblast; epiblasts; germ layer; germ layers; hypoblast; hypoblasts; layer, germ; layers, germ"
UBERON_0000105,D008018,developmental stage; life cycle stage; stage,"cycle, life; cycles, life; history stage, life; history stages, life; life cycle; life cycle stage; life cycle stages; life cycles; life history stage; life history stages; stage, life cycle; stage, life history; stages, life cycle; stages, life history"
UBERON_0000106,D015053,1-cell stage; fertilized egg stage; one cell stage; one-cell stage; zygote; zygote stage; zygotum,"egg, fertilized; eggs, fertilized; fertilized egg; fertilized eggs; fertilized ovum; ovum, fertilized; zygote; zygotes"
UBERON_0000107,D002970,cleavage stage,"cleavage stage, ovum; cleavage stages, ovum; ovum cleavage stage; ovum cleavage stages; ovum segmentation stage; ovum segmentation stages; segmentation stage, ovum; segmentation stages, ovum"
UBERON_0000120,D001812,bbb; blood brain barrier; blood-brain barrier,"barrier, blood-brain; barrier, brain-blood; barrier, hemato-encephalic; barriers, blood-brain; barriers, brain-blood; barriers, hemato-encephalic; blood brain barrier; blood-brain barrier; blood-brain barriers; brain blood barrier; brain-blood barrier; brain-blood barriers; hematoencephalic barrier; hemato encephalic barrier; hemato-encephalic barrier; hemato-encephalic barriers"
UBERON_0000121,D010525,perineurium,"endoneurium; endoneuriums; epineurium; epineuriums; nerve, peripheral; nerves, peripheral; perineurium; perineuriums; peripheral nerve; peripheral nerves"
UBERON_0000123,D010525,endoneurium,"endoneurium; endoneuriums; epineurium; epineuriums; nerve, peripheral; nerves, peripheral; perineurium; perineuriums; peripheral nerve; peripheral nerves"
UBERON_0000124,D010525,epineurium,"endoneurium; endoneuriums; epineurium; epineuriums; nerve, peripheral; nerves, peripheral; perineurium; perineuriums; peripheral nerve; peripheral nerves"
UBERON_0000125,D002467,nervous system nucleus; neural nucleus; neuraxis nucleus; neuronal nucleus; nucleus; nucleus of cns; nucleus of neuraxis,"cell nuclei; cell nucleus; nuclei, cell; nucleus, cell"
UBERON_0000127,D065828,facial nerve nucleus; facial nucleus; facial vii motor nucleus; facial vii nucleus; nucleus of facial nerve,"facial motor nucleus; facial nucleus; faciali, nucleus; faciali, nucleus nervi; facialis, nucleus; facialis, nucleus nervi; motor nucleus, facial; nervi faciali, nucleus; nervi facialis, nucleus; nucleus faciali; nucleus facialis; nucleus nervi faciali; nucleus nervi facialis; nucleus, facial; nucleus, facial motor"
UBERON_0000156,D013799,external coat of theca folliculi; ovary theca externa; theca externa; theca externa (folliculus ovaricus tertiarius); tunica externa of theca folliculi; tunica externa thecae folliculi,"cell, ovarian interstitial; cell, theca; cells, ovarian interstitial; cells, theca; externa, theca; interna, theca; interstitial cell, ovarian; interstitial cells, ovarian; ovarian interstitial cell; ovarian interstitial cells; theca cell; theca cells; theca externa; theca interna"
UBERON_0000157,D013799,internal coat of capsule of graafian follicle; ovary theca interna; theca interna; theca interna (folliculus ovaricus tertiarius); tunica interna of theca folliculi; tunica interna thecae folliculi,"cell, ovarian interstitial; cell, theca; cells, ovarian interstitial; cells, theca; externa, theca; interna, theca; interstitial cell, ovarian; interstitial cells, ovarian; ovarian interstitial cell; ovarian interstitial cells; theca cell; theca cells; theca externa; theca interna"
UBERON_0000158,D008566,membrane; membranous layer; membranous organ component,"membrane; membrane tissue; membrane tissues; membranes; tissue, membrane; tissues, membrane"
UBERON_0000159,D001003,anal canal; anal canal viewed anatomically; anal pad; anatomical anal canal; anus; canalis analis; cloaca; cloacal chamber; mesenteron; pars analis recti,"anal canal; anal gland; anal gland, human; anal glands, human; anal sphincter; anal sphincter, external; anal sphincter, internal; anal sphincters; anus; detrusor external sphincter; detrusor external sphincters; external anal sphincter; external anal sphincters; human anal gland; human anal glands; internal anal sphincter; internal anal sphincters; sphincter, anal; sphincter, detrusor external; sphincter, external anal; sphincter, internal anal; sphincters, anal"
UBERON_0000160,D007422,bowel; intestinal tract; intestine,intestine; intestines
UBERON_0000162,D002988,cloaca; cloacal chamber; vent,cloaca; cloacas
UBERON_0000165,D009055,adult mouth; cavital oralis; cavitas oris; cavum oris; mouth; mouth cavity; oral region; oral vestibule; regio oralis; rima oris; stoma; stomatodaeum; trophic apparatus; vestibule of mouth; vestibulum oris,"cavitas oris; cavitas oris propria; cavity, oral; mouth; mouth cavity proper; oral cavity; oral cavity proper; vestibule mouth; vestibule oris; vestibule of the mouth"
UBERON_0000167,D009055,bucca; buccal cavity; cavity of mouth; oral cavity,"cavitas oris; cavitas oris propria; cavity, oral; mouth; mouth cavity proper; oral cavity; oral cavity proper; vestibule mouth; vestibule oris; vestibule of the mouth"
UBERON_0000170,D008168,lungs; lungs pair; pair of lungs; pulmones; set of lungs,lung; lungs
UBERON_0000173,D000653,acqua amnii; amniotic fluid; liquor amnii,"amniotic fluid; amniotic fluid index; amniotic fluid indices; amniotic fluids; fluid index, amniotic; fluid indices, amniotic; fluid, amniotic; fluids, amniotic; index, amniotic fluid; indices, amniotic fluid"
UBERON_0000175,D010996,pleural effusion,"effusion, pleural; effusions, pleural; pleural effusion; pleural effusions"
UBERON_0000178,D001769,blood; portion of blood; vertebrate blood; whole blood,blood
UBERON_0000209,D005624,frontal; frontal bone; os frontal; os frontale; tetrapod frontal bone,"bone, frontal; bones, frontal; frontal bone; frontal bones"
UBERON_0000210,D010294,actinopterygian frontal bone; frontal bone; os parietale; parietal; parietal bone; tetrapod parietal bone,"bone, parietal; bones, parietal; parietal bone; parietal bones"
UBERON_0000211,D008022,ligament; ligament organ,"interosseal ligament; interosseal ligaments; interosseous ligament; interosseous ligaments; ligament; ligament, interosseal; ligament, interosseous; ligaments"
UBERON_0000220,D001269,articulatio atlanto-occipitalis; articulatio atlantooccipitalis; atlanto occipital joint; atlanto-occipital joint; atlantooccipital joint; craniovertebral joint; occipito atlantal joint; occipito-atlantal joint,"atlanto occipital joint; atlanto-occipital joint; atlanto-occipital joints; atloido occipital joint; atloido-occipital joint; atloido-occipital joints; joint, atlanto-occipital; joint, atloido-occipital; joints, atlanto-occipital; joints, atloido-occipital"
UBERON_0000305,D000650,amnion; amnios,"amnion; amnions; amniotic membrane; amniotic membranes; membrane, amniotic; membranes, amniotic"
UBERON_0000307,D036703,blastosphere; blastula; blastula embryo,blastula; blastulae
UBERON_0000310,D001940,breast; mamma; mammary part of chest; mammary region,breast; breasts
UBERON_0000312,D058506,cambial layer; cambial layer of periosteum; cambium; cambium layer of periosteum; inner cambial layer of periosteum; inner cambium layer of periosteum; internal layer of periosteum; internal periosteum; osteogenic layer of periosteum,cambium; cambiums
UBERON_0000315,D013346,cavitas subarachnoidea; cavum subarachnoideale; spatium leptomeningeum; spatium subarachnoideum; subarachnoid cavity; subarachnoid space; subarachnoid space of central nervous system; subarachnoid space of cns; subarachnoid space of neuraxis,"space, subarachnoid; spaces, subarachnoid; subarachnoid space; subarachnoid spaces"
UBERON_0000316,D002582,cervical mucus; cervix mucus,"cervical mucus; cervix mucus; fern test; fern tests; mucus, cervical; mucus, cervix; palm leaf reaction; palm-leaf reaction; palm-leaf reactions; reaction, palm-leaf; reactions, palm-leaf; test, fern; tests, fern"
UBERON_0000319,D014327,cellular trophoblast; cytotrophoblast; cytotrophoblastic cell; cytotrophoblastic cell layer; cytotrophoblastus; langhans' layer; layer of langhans,cytotrophoblast; cytotrophoblasts; syncytiotrophoblast; syncytiotrophoblasts; trophoblast; trophoblasts
UBERON_0000323,D005333,embryo late growth stage; embryo late stage; fetus; late embryo,"fetal structure; fetal structures; fetal tissue; fetal tissues; fetus; fetus, mummified; fetus, retained; fetuses; mummified fetus; retained fetus; structure, fetal; structures, fetal; tissue, fetal; tissues, fetal"
UBERON_0000325,D005753,gastric gland,"cardiac gland; cardiac glands; gastric gland; gastric glands; gastric mucosa; gastric mucosas; gland, cardiac; gland, gastric; gland, pyloric; glands, cardiac; glands, gastric; glands, pyloric; mucosa, gastric; mucosas, gastric; pyloric gland; pyloric glands"
UBERON_0000326,D010189,pancreatic fluid; pancreatic juice; pancreatic secretion; succus pancreaticus,"juice, pancreatic; juices, pancreatic; pancreatic juice; pancreatic juices"
UBERON_0000332,D001853,fat marrow; medulla ossium flava; yellow bone marrow; yellow marrow,"bone marrow; marrow; marrow, bone; marrow, red; marrow, yellow; red marrow; yellow marrow"
UBERON_0000333,D007413,bowel mucosa gland; bowel mucosa of organ gland; bowel mucous membrane gland; bowel organ mucosa gland; gland of bowel mucosa; gland of bowel mucosa of organ; gland of bowel mucous membrane; gland of bowel organ mucosa; gland of intestinal mucosa; gland of intestine mucosa; gland of intestine mucosa of organ; gland of intestine mucous membrane; gland of intestine organ mucosa; gland of mucosa of bowel; gland of mucosa of intestine; gland of mucosa of organ of bowel; gland of mucosa of organ of intestine; gland of mucous membrane of bowel; gland of mucous membrane of intestine; gland of organ mucosa of bowel; gland of organ mucosa of intestine; glandula intestinalis; glandulae intestinales; intestinal gland; intestinal mucosa gland; intestine mucosa gland; intestine mucosa of organ gland; intestine mucous membrane gland; intestine organ mucosa gland; mucosa of bowel gland; mucosa of intestine gland; mucosa of organ of bowel gland; mucosa of organ of intestine gland; mucous membrane of bowel gland; mucous membrane of intestine gland; organ mucosa of bowel gland; organ mucosa of intestine gland,"epithelium, intestinal; gland, intestinal; glands, intestinal; intestinal epithelium; intestinal gland; intestinal glands; intestinal mucosa; mucosa, intestinal"
UBERON_0000341,D010614,gula; throat,pharynx; pharynxs; throat; throats
UBERON_0000344,D009092,mucosa; mucosa of organ; mucosa of organ part; mucosal region; mucous membrane; organ mucosa; region of mucosa; tunica mucosa,"lamina propria; membrane, mucous; membranes, mucous; mucosa; mucosae, muscularis; mucosal tissue; mucosal tissues; mucous membrane; mucous membranes; muscularis mucosae; propria, lamina; tissue, mucosal; tissues, mucosal"
UBERON_0000345,D009186,myelin,"myelin; myelin sheath; myelin sheaths; sheath, myelin; sheaths, myelin"
UBERON_0000347,D009186,entire myelin sheath; medullary sheath,"myelin; myelin sheath; myelin sheaths; sheath, myelin; sheaths, myelin"
UBERON_0000348,D009882,"ciliary nerve; cranial nerve v, branch v1; ethmoidal nerve; first branch of fifth cranial nerve; first division of fifth cranial nerve; first division of trigeminal nerve; nervus ophthalmicus (v1); nervus ophthalmicus (va); nervus ophthalmicus [v1]; nervus ophthalmicus [va]; ophthalmic division; ophthalmic division [v1]; ophthalmic division [va]; ophthalmic division of fifth cranial nerve; ophthalmic division of trigeminal nerve (v1); ophthalmic division of trigeminal nerve (va); ophthalmic nerve; ophthalmic nerve [v1]; ophthalmic nerve [va]; opthalmic nerve; profundal nerve; profundus; profundus nerve; ramus opthalmicus profundus (ramus v1); rostral branch of trigeminal nerve; trigeminal nerve ophthalmic division; trigeminal v nerve ophthalmic division","nerve, ophthalmic; nerves, ophthalmic; ophthalmic nerve; ophthalmic nerves"
UBERON_0000349,D008032,limbic system; visceral brain,"limbic system; limbic systems; system, limbic; systems, limbic"
UBERON_0000358,D001755,blastocyst; blastocystis; blastula,"blastocyst; blastocysts; embryo, preimplantation; embryos, preimplantation; preimplantation embryo; preimplantation embryos"
UBERON_0000361,D001853,medulla ossium rubra; parenchyma of none marrow marrow; parenchymal red marrow; red bone marrow; red marrow,"bone marrow; marrow; marrow, bone; marrow, red; marrow, yellow; red marrow; yellow marrow"
UBERON_0000362,D007679,kidney medulla; medulla of kidney; medulla renalis; medullary pyramids; pyramides renales; renal marrow; renal medulla; renal medullae; renal medullae set; renal pyramids; renal pyramids set,"kidney medulla; kidney medullas; kidney papilla; kidney papillas; medulla, kidney; medullas, kidney; papilla, kidney; papillas, kidney"
UBERON_0000363,D012157,lymphoreticular; lymphoreticular system; mononuclear phagocyte system; res; reticuloendothelial system,"mononuclear phagocyte system; phagocyte system, mononuclear; reticuloendothelial system; system, mononuclear phagocyte; system, reticuloendothelial"
UBERON_0000365,D019459,epithelium transitionale; transitional epithelium; uroepithelium; urothelium,"epithelium, urinary tract; urinary tract epithelium; urothelium"
UBERON_0000369,D003342,corpus striatum; striate body; striated body,"corpus striatum; lenticular nucleus; lentiform nuclei; lentiform nucleus; lentiformis, nucleus; nuclei, lentiform; nucleus lentiformis; nucleus, lenticular; nucleus, lentiform; striatum, corpus"
UBERON_0000371,D014327,syncitiotrophoblast; syncitiotrophoblastus; syncytial trophoblast; syncytiotrophoblast; syntrophoblast; syntrophoblast layer,cytotrophoblast; cytotrophoblasts; syncytiotrophoblast; syncytiotrophoblasts; trophoblast; trophoblasts
UBERON_0000375,D008340,inferior maxillary nerve; mandibular division [v3]; mandibular division [vc]; mandibular division of fifth cranial nerve; mandibular division of trigeminal nerve [vc; v3]; mandibular nerve; mandibular nerve [v3]; mandibular nerve [vc]; n. mandibularis; nervus mandibularis; nervus mandibularis [v3]; nervus mandibularis [vc; v3]; nervus mandibularis [vc]; ramus mandibularis (ramus v3); third division of fifth cranial nerve; third division of trigeminal nerve; trigeminal nerve mandibular division; trigeminal v nerve mandibular division,"alveolar nerve, inferior; auriculotemporal nerve; auriculotemporal nerves; buccal nerve; buccal nerves; deep temporal nerve; deep temporal nerves; inferior alveolar nerve; inferior alveolar nerves; lateral pterygoid nerve; lateral pterygoid nerves; mandibular nerve; mandibular nerves; masseteric nerve; masseteric nerves; mental nerve; mental nerves; mylohyoid nerve; mylohyoid nerves; nerve, auriculotemporal; nerve, buccal; nerve, deep temporal; nerve, inferior alveolar; nerve, lateral pterygoid; nerve, mandibular; nerve, masseteric; nerve, mental; nerve, mylohyoid; pterygoid nerve, lateral; pterygoid nerves, lateral; temporal nerve, deep; temporal nerves, deep"
UBERON_0000376,D013848,femur; hind limb stylopod; hind limb stylopodium; hind propodium; hindlimb propodium; hindlimb stylopod; hindlimb stylopodium; proximal segment of free lower limb; stylopod of hind limb; stylopod of hindlimb; stylopod of lower limb; thigh; upper leg,thigh; thighs
UBERON_0000377,D008442,maxillary division [v2]; maxillary division [vb]; maxillary division of fifth cranial nerve; maxillary division of trigeminal nerve (vb; v2); maxillary nerve; maxillary nerve [v2]; maxillary nerve [vb]; n. maxillaris; nervus maxillaris; nervus maxillaris (vb; v2); nervus maxillaris [v2]; nervus maxillaris [vb]; ramus maxillaris (ramus v2); second division of fifth cranial nerve; second division of trigeminal nerve; trigeminal nerve maxillary division; trigeminal v nerve maxillary division,"alveolar nerve, superior; alveolar nerves, superior; maxillary nerve; maxillary nerves; nerve, maxillary; nerve, superior alveolar; nerves, maxillary; nerves, superior alveolar; superior alveolar nerve; superior alveolar nerves"
UBERON_0000381,D001743,detrusor; detrusor muscle; detrusor muscle of bladder; detrusor smooth muscle; detrusor urinae muscle; muscularis propria; muscularis propria of the urinary bladder; musculus detrusor vesicae; musculus detrusor vesicae urinariae; urinary bladder detrusor muscle; urinary bladder detrusor smooth muscle; urinary bladder detrussor smooth muscle,"bladder; bladder detrusor muscle; bladder detrusor muscles; bladder, urinary; detrusor muscle, bladder; detrusor muscles, bladder; detrusor urinae; urinary bladder"
UBERON_0000382,D001050,apocrine sweat gland; glandula sudorifera apocrina,"apocrine gland; apocrine glands; gland, apocrine; glands, apocrine"
UBERON_0000387,D000072600,articular disc; meniscus,menisci; meniscus
UBERON_0000388,D004825,epiglottis,"cartilage, epiglottic; cartilages, epiglottic; epiglottic cartilage; epiglottic cartilages; epiglottis"
UBERON_0000389,D007904,cortex of lens; lens cortex,"cortex, crystalline lens; crystalline lens cortex; lens cortex, crystalline"
UBERON_0000390,D007907,lens nucleus; nucleus of lens,"crystalline lens nucleus; lens nucleus, crystalline; nucleus, crystalline lens"
UBERON_0000395,D013136,cochlear ganglion; cochlear part of vestibulocochlear ganglion; corti's ganglion; ganglion cochlearis; ganglion of corti; ganglion spirale; ganglion spirale cochleae; spiral ganglion; spiral ganglion of cochlea; vestibulocochlear ganglion cochlear component; vestibulocochlear viii ganglion cochlear component,"auditory ganglion; auditory ganglions; ganglia, spiral; ganglion of corti; ganglion, auditory; ganglion, spiral; ganglions, auditory; spiral ganglia; spiral ganglion"
UBERON_0000403,D012535,scalp; scalpus,scalp; scalps
UBERON_0000411,D014793,higher-order visual cortex; visual areas; visual cortex,"area 18, brodmann; area 18, brodmann's; area 19, brodmann; area 19, brodmann's; area v2; area v2, cortical; area v3; area v3, cortical; area v4; area v4, cortical; area v5; area v5, cortical; area, visual motion; associative visual cortex; associative visual cortices; brodmann area 18; brodmann area 19; brodmann's area 18; brodmann's area 19; brodmanns area 18; brodmanns area 19; cortex secondary, visual; cortex v2, visual; cortex v3, visual; cortex, associative visual; cortex, extrastriate; cortex, secondary visual; cortex, visual; cortical area v2; cortical area v3; cortical area v3s; cortical area v4; cortical area v5; extrastriate cortex; extrastriate cortices; secondary visual cortex; secondary visual cortices; v3, cortical area; v3, visual cortex; v4, area; v4, cortical area; v5, area; v5, cortical area; v5, visual cortex; visual cortex; visual cortex secondaries; visual cortex secondary; visual cortex v2; visual cortex v3; visual cortex v3, v4, v5; visual cortex v4; visual cortex v5; visual cortex, associative; visual cortex, secondary; visual motion area; visual motion areas"
UBERON_0000416,D013355,cavum subdurale; spatium subdurale; subdural cavity; subdural cleavage; subdural cleft; subdural space,"space, subdural; subdural space; subdural spaces"
UBERON_0000423,D004439,eccrine gland; eccrine sweat gland; glandula sudorifera eccrina; glandula sudorifera merocrina; merocrine sweat gland,"eccrine gland; eccrine glands; gland, eccrine; glands, eccrine"
UBERON_0000426,D000097862,extravillous trophoblast; intermediate trophoblast; interstitial trophoblast,"extravillous trophoblast; extravillous trophoblasts; trophoblast, extravillous"
UBERON_0000432,D020392,endopeduncular nucleus; entopeduncular nucleus; nucleus endopeduncularis; nucleus entopeduncularis,"endopeduncular nucleus; endopeduncularis, nucleus; entopeduncular nucleus; entopeduncularis, nucleus; nucleus endopeduncularis; nucleus entopeduncularis; nucleus, endopeduncular; nucleus, entopeduncular"
