cl_id,mesh_id,cl_labels,mesh_labels
"""CL_0000040""","""D055017""","""cfu-m; colony forming unit macrophage; colony forming unit monocyte; monoblast; monocyte stem cell""","""cell, monocyte-macrophage precursor; cell, monocyte-macrophage progenitor; cells, monocyte-macrophage precursor; cells, monocyte-macrophage progenitor; monoblast; monoblasts; monocyte macrophage precursor cells; monocyte macrophage progenitor cells; monocyte-macrophage precursor cell; monocyte-macrophage precursor cells; monocyte-macrophage progenitor cell; monocyte-macrophage progenitor cells; precursor cell, monocyte-macrophage; precursor cells, monocyte-macrophage; progenitor cell, monocyte-macrophage; progenitor cells, monocyte-macrophage; promonocyte; promonocytes"""
"""CL_0000047""","""D058953""","""neural stem cell; neuronal stem cell; nsc""","""cell, neural stem; cells, neural stem; neural stem cell; neural stem cells; stem cell, neural; stem cells, neural"""
"""CL_0000048""","""D039902""","""multi fate stem cell; multi-fate stem cell; multifate stem cell; multipotent cell; multipotent stem cell""","""multipotent stem cell; multipotent stem cells; stem cell, multipotent; stem cells, multipotent"""
"""CL_0000052""","""D039901""","""totipotent stem cell; totipotential stem cell""","""cell, totipotent stem; cells, totipotent stem; stem cell, totipotent; stem cells, totipotent; totipotent stem cell; totipotent stem cells"""
"""CL_0000056""","""D032446""","""myoblast""","""embryonic muscle cell; embryonic muscle cells; muscle cell, embryonic; muscle cell, precursor; muscle cells, embryonic; muscle cells, precursor; myoblast; myoblasts; precursor muscle cell; precursor muscle cells"""
"""CL_0000057""","""D005347""","""fibroblast""","""fibroblast; fibroblasts"""
"""CL_0000058""","""D019902""","""chondroblast; chrondoplast""","""chondroblast; chondroblasts; chondrocyte; chondrocytes"""
"""CL_0000059""","""D000565""","""ameloblast; amelocyte; enamel secreting cell""","""ameloblast; ameloblasts"""
"""CL_0000060""","""D009804""","""odontoblast""","""odontoblast; odontoblasts"""
"""CL_0000061""","""D003739""","""cementoblast; cementum secreting cell""","""cementum dent; cementoblast; cementoblasts; cementum; cementum, dental; dent cementum; dental cementum"""
"""CL_0000062""","""D010006""","""osteoblast""","""osteoblast; osteoblasts"""
"""CL_0000066""","""D004847""","""epithelial cell; epitheliocyte""","""adenomatous epithelial cell; adenomatous epithelial cells; cell, adenomatous epithelial; cell, epithelial; cell, glandular epithelial; cell, squamous; cell, squamous epithelial; cell, transitional epithelial; cells, adenomatous epithelial; cells, epithelial; cells, glandular epithelial; cells, squamous; cells, squamous epithelial; cells, transitional epithelial; columnar glandular epithelial cells; cuboidal glandular epithelial cells; epithelial cell; epithelial cell, adenomatous; epithelial cell, glandular; epithelial cell, squamous; epithelial cell, transitional; epithelial cells; epithelial cells, adenomatous; epithelial cells, glandular; epithelial cells, squamous; epithelial cells, transitional; glandular epithelial cell; glandular epithelial cells; squamous cell; squamous cells; squamous epithelial cell; squamous epithelial cells; transitional epithelial cell; transitional epithelial cells"""
"""CL_0000081""","""D001773""","""blood cell""","""blood cell; blood cells; blood corpuscle; blood corpuscles; cell, blood; cells, blood; corpuscle, blood; corpuscles, blood"""
"""CL_0000084""","""D013601""","""t cell; immature t cell; mature t cell; t lymphocyte; t-cell; t-lymphocyte""","""cell, t; cells, t; lymphocytes j; lymphocyte, t; lymphocyte, thymus-dependent; lymphocytes, t; lymphocytes, thymus-dependent; t cell; t cells; t lymphocyte; t lymphocytes; t-cell; t-cells; t-lymphocyte; t-lymphocytes; thymus dependent lymphocytes; thymus-dependent lymphocyte; thymus-dependent lymphocytes"""
"""CL_0000091""","""D007728""","""kupffer cell; hepatic macrophage; littoral cell of hepatic sinusoid; liver macrophage; macrophagocytus stellatus; stellate cell of von kupffer; von kupffer cell""","""cell, kupffer; cells, kupffer; kupffer cell; kupffer cells"""
"""CL_0000092""","""D010010""","""chondroclast; osteoclast""","""cementoclast; cementoclasts; odontoclast; odontoclasts; osteoclast; osteoclasts"""
"""CL_0000094""","""D006098""","""granular leucocyte; granular leukocyte; granulocyte; polymorphonuclear leukocyte""","""granulocyte; granulocytes"""
"""CL_0000097""","""D008407""","""histaminocyte; labrocyte; mast cell; mastocyte; tissue basophil""","""basophil, tissue; basophils, tissue; cell, mast; cells, mast; mast cell; mast cells; tissue basophil; tissue basophils"""
"""CL_0000099""","""D007395""","""interneuron""","""intercalated neuron; intercalated neurons; interneuron; interneurons; neuron, intercalated; neurons, intercalated"""
"""CL_0000100""","""D009046""","""motoneuron; motor neuron""","""alpha motor neuron; alpha motor neurons; alpha motorneuron; alpha motorneurons; motoneuron; motoneurons; motor neuron; motor neuron, alpha; motor neurons; motor neurons, alpha; motorneuron, alpha; motorneurons, alpha; neuron, alpha motor; neuron, motor; neurons, alpha motor; neurons, motor"""
"""CL_0000100""","""D009476""","""motoneuron; motor neuron""","""efferent neuron; efferent neurons; neuron, efferent; neurons, efferent"""
"""CL_0000101""","""D009475""","""sensory neuron""","""afferent neuron; afferent neurons; neuron, afferent; neurons, afferent"""
"""CL_0000101""","""D011984""","""sensory neuron""","""neural recept; neurorecept; nerve ending, sensory; nerve endings, sensory; neural receptor; neural receptors; neuron, sensory; neurons, sensory; neuroreceptor; neuroreceptors; recept neural; recept sensory; receptor cell, sensory; receptor cells, sensory; receptor, neural; receptor, sensory; receptors, neural; receptors, sensory; sensory recept; sensory nerve ending; sensory nerve endings; sensory neuron; sensory neurons; sensory receptor; sensory receptor cell; sensory receptor cells; sensory receptors"""
"""CL_0000108""","""D059329""","""cholinergic neuron""","""cholinergic neuron; cholinergic neurons; neuron, cholinergic; neurons, cholinergic"""
"""CL_0000109""","""D059331""","""adrenergic neuron""","""adrenergic neuron; adrenergic neurons; neuron, adrenergic; neuron, noradrenergic; neurons, adrenergic; neurons, noradrenergic; noradrenergic neuron; noradrenergic neurons"""
"""CL_0000115""","""D042783""","""endothelial cell; endotheliocyte""","""capillary endothelial cell; capillary endothelial cells; cell, capillary endothelial; cell, endothelial; cell, lymphatic endothelial; cell, vascular endothelial; cells, capillary endothelial; cells, endothelial; cells, lymphatic endothelial; cells, vascular endothelial; endothelial cell; endothelial cell, capillary; endothelial cell, lymphatic; endothelial cell, vascular; endothelial cells; endothelial cells, capillary; endothelial cells, lymphatic; endothelial cells, vascular; lymphatic endothelial cell; lymphatic endothelial cells; vascular endothelial cell; vascular endothelial cells"""
"""CL_0000119""","""D000080906""","""cerebellar golgi cell; cerebellar golgi neuron; cerebellum golgi cell; golgi cell; golgi neuron""","""cerebellar golgi cell; cerebellar golgi cells; golgi cell, cerebellar; golgi cells of the cerebellum; golgi cells, cerebellar"""
"""CL_0000121""","""D011689""","""purkinje cell; cerebellar purkinje cell; cerebellum purkinje cell; purkinje neuron; purkinje's cell""","""cell, purkinje; cell, purkyne; cells, purkinje; cells, purkyne; neuron, purkinje; neurons, purkinje; purkinje cell; purkinje cells; purkinje neuron; purkinje neurons; purkyne cell; purkyne cells"""
"""CL_0000125""","""D009457""","""glial cell; neuroglia; neuroglial cell""","""bergmann glia; bergmann glia cell; bergmann glia cells; bergmann glial cell; bergmann glial cells; cell, bergmann glia; cell, bergmann glial; cell, glia; cell, glial; cell, neuroglial; cell, satellite glia; cell, satellite glial; glia; glia cell; glia cell, bergmann; glia cell, satellite; glia cells; glia, bergmann; glia, satellite; glial cell; glial cell, bergmann; glial cell, satellite; glial cells; glias; neuroglia; neuroglial cell; neuroglial cells; neuroglias; satellite glia; satellite glia cell; satellite glia cells; satellite glial cell; satellite glial cells; satellite glias"""
"""CL_0000127""","""D001253""","""astrocyte; astrocytic glia""","""astrocyte; astrocytes; astroglia; astroglia cell; astroglia cells; astroglial cell; astroglial cells; astroglias; cell, astroglia; cell, astroglial"""
"""CL_0000128""","""D009836""","""oligodendrocyte; oligodendroglia; ols""","""interfascicular oligodendroglia; interfascicular oligodendroglias; oligodendrocyte; oligodendrocyte, perineuronal satellite; oligodendrocytes; oligodendrocytes, perineuronal satellite; oligodendroglia; oligodendroglia, interfascicular; oligodendroglia, perineuronal; oligodendroglia, perivascular; perineuronal oligodendroglia; perineuronal satellite oligodendrocyte; perineuronal satellite oligodendrocytes; perineuronal satellite oligodendroglia cells; perivascular oligodendroglia; satellite cells, perineuronal, oligodendroglia; satellite oligodendrocyte, perineuronal; satellite oligodendrocytes, perineuronal"""
"""CL_0000129""","""D009836""","""brain macrophage; brain-resident macrophage; hortega cells; mf.microglia.cns; microglia; microglial cell; microgliocyte""","""interfascicular oligodendroglia; interfascicular oligodendroglias; oligodendrocyte; oligodendrocyte, perineuronal satellite; oligodendrocytes; oligodendrocytes, perineuronal satellite; oligodendroglia; oligodendroglia, interfascicular; oligodendroglia, perineuronal; oligodendroglia, perivascular; perineuronal oligodendroglia; perineuronal satellite oligodendrocyte; perineuronal satellite oligodendrocytes; perineuronal satellite oligodendroglia cells; perivascular oligodendroglia; satellite cells, perineuronal, oligodendroglia; satellite oligodendrocyte, perineuronal; satellite oligodendrocytes, perineuronal"""
"""CL_0000129""","""D017628""","""brain macrophage; brain-resident macrophage; hortega cells; mf.microglia.cns; microglia; microglial cell; microgliocyte""","""cell, microglial; microglia; microglial cell; microglial cells; microglias"""
"""CL_0000134""","""D059630""","""bmsc; bone marrow stromal cells; cfu-f; colony-forming unit-fibroblast; marrow stromal cells; mesenchymal precursor cell; mesenchymal progenitor cells; mesenchymal stem cell; mesenchymal stromal cell; mesenchymal stromal cells; msc; stem cells, mesenchymal""","""adipose derived mesenchymal stem cell; adipose derived mesenchymal stem cells; adipose derived mesenchymal stromal cells; adipose tissue derived mesenchymal stem cell; adipose tissue derived mesenchymal stem cells; adipose tissue derived mesenchymal stromal cell; adipose tissue derived mesenchymal stromal cells; adipose tissue-derived mesenchymal stem cell; adipose tissue-derived mesenchymal stem cells; adipose tissue-derived mesenchymal stromal cell; adipose tissue-derived mesenchymal stromal cells; adipose-derived mesenchymal stem cell; adipose-derived mesenchymal stem cells; adipose-derived mesenchymal stromal cells; bone marrow mesenchymal stem cell; bone marrow mesenchymal stem cells; bone marrow stromal cell; bone marrow stromal cells; bone marrow stromal cells, multipotent; bone marrow stromal stem cells; mesenchymal progenitor cell; mesenchymal progenitor cells; mesenchymal stem cell; mesenchymal stem cells; mesenchymal stem cells, adipose derived; mesenchymal stem cells, adipose-derived; mesenchymal stromal cell; mesenchymal stromal cells; mesenchymal stromal cells, multipotent; multipotent bone marrow stromal cell; multipotent bone marrow stromal cells; multipotent mesenchymal stromal cell; multipotent mesenchymal stromal cells; progenitor cell, mesenchymal; progenitor cells, mesenchymal; stem cell, mesenchymal; stem cells, mesenchymal; stromal cell, mesenchymal; stromal cells, mesenchymal; wharton jelly cells; wharton's jelly cell; wharton's jelly cells; whartons jelly cells"""
"""CL_0000136""","""D017667""","""adipocyte; adipose cell; fat cell""","""adipocyte; adipocytes; cell, fat; cells, fat; fat cell; fat cells; lipocyte; lipocytes"""
"""CL_0000137""","""D010011""","""bone cell; osteocyte""","""osteocyte; osteocytes"""
"""CL_0000138""","""D019902""","""cartilage cell; chondrocyte""","""chondroblast; chondroblasts; chondrocyte; chondrocytes"""
"""CL_0000148""","""D008544""","""melanocyte; melanophore""","""melanocyte; melanocytes"""
"""CL_0000155""","""D019872""","""chief cell of stomach; gastric chief cell; pepsinogen secreting cell; peptic cell; zymogenic cell""","""cell, gastric zymogenic; cells, gastric zymogenic; chief cell, gastric; chief cells, gastric; gastric chief cell; gastric chief cells; gastric zymogenic cell; gastric zymogenic cells; zymogenic cell, gastric; zymogenic cells, gastric"""
"""CL_0000160""","""D020397""","""chalice cell; goblet cell""","""cell, goblet; cells, goblet; goblet cell; goblet cells"""
"""CL_0000162""","""D010295""","""oxyntic cell; parietal cell""","""cell, gastric parietal; cell, oxyntic; cells, gastric parietal; cells, oxyntic; gastric parietal cell; gastric parietal cells; oxyntic cell; oxyntic cells; parietal cell, gastric; parietal cells, gastric"""
"""CL_0000163""","""D055098""","""endocrine cell; endocrinocyte""","""cell, endocrine; cells, endocrine; endocrine cell; endocrine cells"""
"""CL_0000164""","""D019858""","""enteroendocrine cell""","""endocrine cells gut; endocrine cell, gastrointestinal; endocrine cells of gut; endocrine cells, gastrointestinal; enteroendocrine cell; enteroendocrine cells; gastrointestinal endocrine cell; gastrointestinal endocrine cells; gut endocrine cell; gut endocrine cells; gut secretin cell; gut secretin cells; intestinal l cell; intestinal l cells; intestinal secretin cell; intestinal secretin cells; l cell (intestine); l cell, intestinal; l cells (intestine); l cells, intestinal; s cell (intestine); s cells (intestine); secretin cell, intestinal; secretin cells of gut; secretin cells, intestinal"""
"""CL_0000165""","""D055099""","""neuroendocrine cell; neurosecretory cell; neurosecretory neuron""","""cell, neuroendocrine; cells, neuroendocrine; endocrine neuron; endocrine neurons; neuroendocrine cell; neuroendocrine cells; neuron, endocrine; neurons, endocrine"""
"""CL_0000166""","""D019439""","""chromaffin cell; phaeochromocyte""","""cell, chromaffin; cells, chromaffin; chromaffin cell; chromaffin cells"""
"""CL_0000169""","""D050417""","""b-cell of pancreatic islet; beta cell; beta cell islet; beta cell of pancreatic islet; insulin-secreting cell; pancreatic b cell; pancreatic b-cell; pancreatic beta cell; pancreatic islet core; type b pancreatic cell; type b enteroendocrine cell""","""b cell, pancreatic; b cells, pancreatic; cell, insulin-secreting; cells, insulin-secreting; insulin secreting cells; insulin-secreting cell; insulin-secreting cells; pancreatic b cell; pancreatic b cells; pancreatic beta cell; pancreatic beta cells; beta cell, pancreatic; beta cells, pancreatic"""
"""CL_0000170""","""D050416""","""glucagon secreting cell; glucagon-secreting cell""","""cell, glucagon-secreting; cells, glucagon-secreting; glucagon secreting cells; glucagon-secreting cell; glucagon-secreting cells; pancreatic a cell; pancreatic a cells; pancreatic alpha cell; pancreatic alpha cells; alpha cell, pancreatic; alpha cells, pancreatic"""
"""CL_0000171""","""D050416""","""alpha cell of islet of langerhans; pancreatic a cell; pancreatic alpha cell""","""cell, glucagon-secreting; cells, glucagon-secreting; glucagon secreting cells; glucagon-secreting cell; glucagon-secreting cells; pancreatic a cell; pancreatic a cells; pancreatic alpha cell; pancreatic alpha cells; alpha cell, pancreatic; alpha cells, pancreatic"""
"""CL_0000173""","""D019864""","""d-cell of pancreatic islet; delta cell of islet; delta cell of pancreatic islet; pancreatic d cell; pancreatic d-cell; pancreatic delta cell; somatostatin-secreting pancreatic cell""","""d cell; d cell, gastric; d cells; d cells, gastric; d cells, pancreatic; gastric d cell; gastric d cells; gastric delta cell; gastric delta cells; pancreatic d cell; pancreatic d cells; pancreatic delta cell; pancreatic delta cells; somatostatin cell; somatostatin cells; somatostatin secreting cells; somatostatin-secreting cell; somatostatin-secreting cells; delta cell; delta cell, gastric; delta cell, pancreatic; delta cells; delta cells, gastric; delta cells, pancreatic"""
"""CL_0000175""","""D008184""","""luteal cell; lutein cell""","""cell, granulosa-luteal; cell, granulosa-lutein; cell, large luteal; cell, luteal; cell, lutein; cell, small luteal; cell, theca-lutein; cells, granulosa-luteal; cells, granulosa-lutein; cells, large luteal; cells, luteal; cells, lutein; cells, small luteal; cells, theca-lutein; granulosa luteal cells; granulosa lutein cells; granulosa-luteal cell; granulosa-luteal cells; granulosa-lutein cell; granulosa-lutein cells; large luteal cell; large luteal cells; luteal cell; luteal cell, large; luteal cell, small; luteal cells; luteal cells, large; luteal cells, small; lutein cell; lutein cells; small luteal cell; small luteal cells; theca luteal cells; theca lutein cells; theca-luteal cell; theca-luteal cells; theca-lutein cell; theca-lutein cells; cell, theca-luteal; cells, theca-luteal"""
"""CL_0000178""","""D007985""","""leydig cell; interstitial cell; interstitial cell of leydig""","""cell, leydig; cell, testicular interstitial; cells, leydig; cells, testicular interstitial; interstitial cell, testicular; interstitial cells, testicular; leydig cell; leydig cells; testicular interstitial cell; testicular interstitial cells"""
"""CL_0000182""","""D022781""","""hepatocyte""","""cell, hepatic; cells, hepatic; hepatic cell; hepatic cells; hepatocyte; hepatocytes"""
"""CL_0000187""","""D032342""","""muscle cell; muscle fiber; myocyte""","""mature muscle cell; mature muscle cells; muscle cell; muscle cell, mature; muscle cells; muscle cells, mature; myocyte; myocytes"""
"""CL_0000188""","""D018485""","""cell of skeletal muscle; skeletal muscle cell""","""fiber, skeletal muscle; fibers, skeletal muscle; muscle fiber, skeletal; muscle fibers, skeletal; myocyte, skeletal; myocytes, skeletal; myotube; myotubes; skeletal muscle fiber; skeletal muscle fibers; skeletal myocyte; skeletal myocytes"""
"""CL_0000189""","""D018657""","""slow muscle cell; slow muscle fiber""","""fiber, red muscle; fiber, slow-twitch muscle; fibers, red muscle; fibers, slow-twitch muscle; muscle fiber, red; muscle fiber, slow-twitch; muscle fibers, red; muscle fibers, slow twitch; muscle fibers, slow-twitch; muscle fibers, type i; red muscle fiber; red muscle fibers; slow-twitch muscle fiber; slow-twitch muscle fibers"""
"""CL_0000192""","""D032389""","""myocytes, smooth muscle; non-striated muscle cell; smcs; smooth muscle cell; smooth muscle fiber""","""cell, smooth muscle; cells, smooth muscle; myocyte, smooth muscle; myocytes, smooth muscle; smooth muscle cell; smooth muscle cells; smooth muscle myocyte; smooth muscle myocytes"""
"""CL_0000197""","""D011984""","""receptor cell; sensory receptor cell""","""neural recept; neurorecept; nerve ending, sensory; nerve endings, sensory; neural receptor; neural receptors; neuron, sensory; neurons, sensory; neuroreceptor; neuroreceptors; recept neural; recept sensory; receptor cell, sensory; receptor cells, sensory; receptor, neural; receptor, sensory; receptors, neural; receptors, sensory; sensory recept; sensory nerve ending; sensory nerve endings; sensory neuron; sensory neurons; sensory receptor; sensory receptor cell; sensory receptor cells; sensory receptors"""
"""CL_0000202""","""D006198""","""auditory hair cell; auditory receptor cell""","""auditory hair cell; auditory hair cells; cell, cochlear hair; cells, cochlear hair; cochlear hair cell; cochlear hair cells; hair cell, auditory; hair cell, cochlear; hair cells, auditory; hair cells, cochlear"""
"""CL_0000207""","""D018034""","""odorant receptor cell; olfactory receptor cell; olfactory receptor neuron; olfactory sensory neuron; schultze's cell""","""cell, olfactory receptor; cell, olfactory sensory; cells, olfactory receptor; cells, olfactory sensory; cilia, olfactory sensory; cilias, olfactory sensory; neurons olfactory recept; neuron, olfactory receptor; neuron, olfactory sensory; neurons, olfactory receptor; neurons, olfactory sensory; olfactory recept neurons; olfactory receptor cell; olfactory receptor cells; olfactory receptor neuron; olfactory receptor neurons; olfactory sensory cell; olfactory sensory cells; olfactory sensory cilia; olfactory sensory cilias; olfactory sensory neuron; olfactory sensory neurons; receptor cell, olfactory; receptor cells, olfactory; receptor neuron, olfactory; receptor neurons, olfactory; sensory cell, olfactory; sensory cells, olfactory; sensory cilia, olfactory; sensory cilias, olfactory; sensory neuron, olfactory; sensory neurons, olfactory"""
"""CL_0000210""","""D010786""","""photoreceptor cell""","""ciliary photorecept cells; ciliary photorecepts; cell, ciliary photoreceptor; cell, photoreceptor; cell, rhabdomeric photoreceptor; cells, ciliary photoreceptor; cells, photoreceptor; cells, rhabdomeric photoreceptor; ciliary photoreceptor; ciliary photoreceptor cell; ciliary photoreceptor cells; ciliary photoreceptors; photorecept cells; photoreceptor cell; photoreceptor cell, ciliary; photoreceptor cell, rhabdomeric; photoreceptor cells; photoreceptor cells, ciliary; photoreceptor cells, rhabdomeric; photoreceptor, ciliary; photoreceptor, rhabdomeric; photoreceptors, ciliary; photoreceptors, rhabdomeric; rhabdomeric photorecept cells; rhabdomeric photorecepts; rhabdomeric photoreceptor; rhabdomeric photoreceptor cell; rhabdomeric photoreceptor cells; rhabdomeric photoreceptors"""
"""CL_0000216""","""D012708""","""sertoli cell""","""cell, sertoli; cells, sertoli; sertoli cell; sertoli cells"""
"""CL_0000218""","""D012583""","""myelinating schwann cell; neurilemmal cell; peripheral neuroglial cell; schwann cell""","""cell, schwann; cells, schwann; schwann cell; schwann cells"""
"""CL_0000232""","""D004912""","""erythrocyte; rbc; red blood cell""","""blood cell, red; blood cells, red; blood corpuscle, red; blood corpuscles, red; erythrocyte; erythrocytes; red blood cell; red blood cells; red blood corpuscle; red blood corpuscles"""
"""CL_0000233""","""D001792""","""anucleate thrombocyte; blood platelet; enucleate thrombocyte; platelet""","""blood platelet; blood platelets; platelet; platelet, blood; platelets; platelets, blood; thrombocyte; thrombocytes"""
"""CL_0000234""","""D010586""","""phagocyte""","""cell, phagocytic; cells, phagocytic; phagocyte; phagocytes; phagocytic cell; phagocytic cells"""
"""CL_0000235""","""D006644""","""histiocyte; macrophage""","""histiocyte; histiocytes"""
"""CL_0000235""","""D008264""","""histiocyte; macrophage""","""bone marrow derived macrophages; bone marrow-derived macrophage; bone marrow-derived macrophages; macrophage; macrophage, bone marrow-derived; macrophage, monocyte-derived; macrophages; macrophages, bone marrow-derived; macrophages, monocyte derived; macrophages, monocyte-derived; monocyte derived macrophages; monocyte-derived macrophage; monocyte-derived macrophages"""
"""CL_0000236""","""D001402""","""b cell; b lymphocyte; b-cell; b-lymphocyte""","""b cells, lymphocyte; b lymphocyte; b lymphocytes; b-cell, lymphocyte; b-cells, lymphocyte; b-lymphocyte; b-lymphocytes; bursa dependent lymphocytes; bursa-dependent lymphocyte; bursa-dependent lymphocytes; lymphocytes b; lymphocyte b-cell; lymphocyte b-cells; lymphocyte, bursa-dependent; lymphocytes, bursa-dependent"""
"""CL_0000242""","""D018862""","""merkel cell; merkel's cell""","""cell, merkel; cells, merkel; merkel recept; merkels recept; merkel cell; merkel cells; merkel receptor; merkel receptors; merkel's receptor; merkel's receptors; merkels receptor; recept merkel; recept merkels; receptor, merkel; receptor, merkel's; receptors, merkel; receptors, merkel's; receptors, merkels"""
"""CL_0000244""","""D004847""","""transitional epithelial cell""","""adenomatous epithelial cell; adenomatous epithelial cells; cell, adenomatous epithelial; cell, epithelial; cell, glandular epithelial; cell, squamous; cell, squamous epithelial; cell, transitional epithelial; cells, adenomatous epithelial; cells, epithelial; cells, glandular epithelial; cells, squamous; cells, squamous epithelial; cells, transitional epithelial; columnar glandular epithelial cells; cuboidal glandular epithelial cells; epithelial cell; epithelial cell, adenomatous; epithelial cell, glandular; epithelial cell, squamous; epithelial cell, transitional; epithelial cells; epithelial cells, adenomatous; epithelial cells, glandular; epithelial cells, squamous; epithelial cells, transitional; glandular epithelial cell; glandular epithelial cells; squamous cell; squamous cells; squamous epithelial cell; squamous epithelial cells; transitional epithelial cell; transitional epithelial cells"""
"""CL_0000255""","""D005057""","""eukaryotic cell""","""cell, eukaryotic; cells, eukaryotic; eukaryotic cell; eukaryotic cells"""
"""CL_0000300""","""D005854""","""gamete; haploid germ cell; haploid nucleated cell""","""cell, germ; cell, germ-line; cells, germ; cells, germ-line; gamete; gametes; germ cell; germ cells; germ line; germ line cells; germ lines; germ-line cell; germ-line cells"""
"""CL_0000312""","""D015603""","""keratinized cell of epidermis; keratinocyte; malpighian cell""","""keratinocyte; keratinocytes"""
"""CL_0000322""","""D056809""","""alveolar epithelial cell; pneumocyte; pneumonocyte""","""alveolar cell; alveolar cells; alveolar epithelial cell; alveolar epithelial cells; cell, alveolar; cell, alveolar epithelial; cells, alveolar; cells, alveolar epithelial; epithelial cell, alveolar; epithelial cells, alveolar; pneumocyte; pneumocyte, type 1; pneumocyte, type 2; pneumocyte, type-i; pneumocyte, type-ii; pneumocytes; pneumocytes, type 1; pneumocytes, type 2; pneumocytes, type-i; pneumocytes, type-ii; type 1 pneumocyte; type 1 pneumocytes; type 2 pneumocyte; type 2 pneumocytes; type i pneumocytes; type ii pneumocytes; type-i pneumocyte; type-i pneumocytes; type-ii pneumocyte; type-ii pneumocytes"""
"""CL_0000333""","""D009432""","""migratory neural crest cell""","""cell, neural crest; cells, neural crest; crest, neural; crests, neural; fold, neural; folds, neural; groove, neural; grooves, neural; neural crest; neural crest cell; neural crest cells; neural crests; neural fold; neural folds; neural groove; neural grooves"""
"""CL_0000336""","""D000311""","""adrenal medulla chromaffin cell; medullary chromaffin cell of adrenal gland""","""adrenal gland; adrenal glands; gland, adrenal; glands, adrenal"""
"""CL_0000353""","""D001757""","""blastoderm cell; blastomere""","""blastocyte; blastocytes; blastomere; blastomeres"""
"""CL_0000355""","""D032496""","""multi-potent skeletal muscle stem cell""","""cell, muscle satellite; cell, myogenic satellite; cell, myosatellite; muscle satellite cell; muscle satellite cells; myogenic satellite cell; myogenic satellite cells; myosatellite cell; myosatellite cells; satellite cell, muscle; satellite cell, myogenic; satellite cells, myogenic; satellite cells, skeletal muscle; skeletal muscle satellite cell; skeletal muscle satellite cells"""
