iri,id,name,aka,description
http://purl.obolibrary.org/obo/UBERON_0002094,UBERON_0002094,interventricular septum,heart interventricular septum; heart ventricular septum,Cardiac septum which separates the right ventricle from the left ventricle.[FMA].
http://purl.obolibrary.org/obo/UBERON_0002099,UBERON_0002099,cardiac septum,cardiac septa; heart septa; heart septum; septum of heart,The thin membranous structure between the two heart atria or the thick muscular structure between the two heart ventricles.
http://purl.obolibrary.org/obo/UBERON_0002133,UBERON_0002133,atrioventricular valve,AV valve,A cardial valve in the atrioventricular region that separates the atrium from the ventricle and prevent backflow from the ventricles into the atria during systole.
http://purl.obolibrary.org/obo/UBERON_0002134,UBERON_0002134,tricuspid valve,right atrioventricular valve; valva atrioventricularis dextra,An atrioventricular valve that is part of the outflow part of the right atrium.
http://purl.obolibrary.org/obo/UBERON_0002135,UBERON_0002135,mitral valve,left atrioventricular valve; valva atrioventricularis sinistra,An atrioventricular valve that is part of the outflow part of the left atrium.
http://purl.obolibrary.org/obo/UBERON_0002137,UBERON_0002137,aortic valve,,"Cardiac valve which has as its parts the anterior, right posterior and left posterior cusps, attached to the fibrous ring of aortic valve.[FMA]."
http://purl.obolibrary.org/obo/UBERON_0002146,UBERON_0002146,pulmonary valve,pulmonic valve,The semilunar valve of the heart that lies between the right ventricle and the pulmonary artery.
http://purl.obolibrary.org/obo/UBERON_0002348,UBERON_0002348,epicardium,heart epicardium; visceral serous pericardium of heart; visceral serous pericardium proper,A region of the serous membrane that forms the innermost layer of the pericardium and the outer surface of the heart.
http://purl.obolibrary.org/obo/UBERON_0002351,UBERON_0002351,sinoatrial node,cardiac pacemaker; Koch's node; node of Keith-Flack; nodus sinuatrialis; SA nodal muscle tissue; SA node; sinoatrial node; sinu-atrial node; sinuatrial nodal muscle tissue; sinuatrial node; sinus node; sinus node of Keith and Flack,"The part of the cardiac conduction system that controls the timing of heart muscle contraction. It relays electrical signals to the AV node[GO]. Subdivision of conducting system of heart at the junction of the right atrium and the superior vena cava, around the sinoatrial nodal branch of right coronary artery and is continuous with the internodal tract[FMA]."
http://purl.obolibrary.org/obo/UBERON_0002352,UBERON_0002352,atrioventricular node,Aschoff-Tawara node; atrioventricular nodal muscle tissue; AV nodal muscle tissue; AV node; node of Tawara; nodus atrioventricularis,An area of conducting tissue between the atria and the ventricles of the heart that conducts the normal electrical impulse from the atria to the ventricles.
http://purl.obolibrary.org/obo/UBERON_0002353,UBERON_0002353,bundle of His,atrio-ventricular bundle; atrioventricular bundle; atrioventricular bundle muscle tissue; atrioventricular fasciculus; AV bundle; AVB; bundle of His; fasciculus atrioventricularis; His bundle,A part of the His-Purkinje system that transmits signals from the AV node to the cardiac Purkinje fibers[GO].
http://purl.obolibrary.org/obo/UBERON_0002494,UBERON_0002494,papillary muscle of heart,papillary muscle; papillary muscle of ventricle; ventricular papillary muscle; ventricule papillary muscle,One of the group of myocardial bundles which terminate in the chordae tendineae that attach to the cusps of the atrioventricular valves; each ventricle has an anterior and a posterior papillary muscle; the right ventricle sometimes has a septal papillary muscle.
http://purl.obolibrary.org/obo/UBERON_0003379,UBERON_0003379,cardiac muscle of right atrium,cardiac muscle of cardiac right atrium; cardiac muscle of heart right atrium; cardiac muscle tissue of heart right atrium; cardiac muscle tissue of right atrium; cardiac muscle tissue of right atrium of heart; myocardium of right atrium; right atrium heart muscle; right atrium myocardium; textus muscularis of myocardium of right atrium; textus muscularis of myocardium of right atrium of heart; textus muscularis of myocardium of right cardiac atrium,A portion of cardiac muscle tissue that is part of a right atrium [Automatically generated definition].
http://purl.obolibrary.org/obo/UBERON_0003383,UBERON_0003383,cardiac muscle tissue of interventricular septum,cardiac muscle of interventricular septum; cardiac muscle tissue of interventricular septum; interventricular septum cardiac muscle; interventricular septum heart muscle; interventricular septum myocardium,A portion of cardiac muscle tissue that is part of an interventricular septum [Automatically generated definition].
http://purl.obolibrary.org/obo/UBERON_0003498,UBERON_0003498,heart blood vessel,blood vessel of heart,A blood vessel that is part of a heart [Automatically generated definition].
http://purl.obolibrary.org/obo/UBERON_0004145,UBERON_0004145,outflow tract,cardiac outflow tract; heart outflow tract,The outflow tract is the portion of the heart through which blood flows into the arteries.
http://purl.obolibrary.org/obo/UBERON_0004148,UBERON_0004148,cardiac vein,coronary vein; cardiac vein; heart vein; vein of heart,Vein of heart that drains the myocardium.
http://purl.obolibrary.org/obo/UBERON_0004151,UBERON_0004151,cardiac chamber,chamber of heart; heart chamber,A cardiac chamber surrounds an enclosed cavity within the heart.
http://purl.obolibrary.org/obo/UBERON_0005208,UBERON_0005208,right atrium valve,valve of right atrium,A valve that is part of a right atrium [Automatically generated definition].
http://purl.obolibrary.org/obo/UBERON_0005337,UBERON_0005337,outflow tract of ventricle,heart ventricle outflow tract; outflow part of ventricle; ventricular outflow tract,"A ventricular outflow tract is a portion of either the left ventricle or right ventricle of the heart through which blood passes in order to enter the great arteries. The right ventricular outflow tract (RVOT) is an infundibular extension of the ventricular cavity which connects to the pulmonary artery. The left ventricular outflow tract (LVOT), which connects to the aorta, is nearly indistinguishable from the rest of the ventricle[WP]."
http://purl.obolibrary.org/obo/UBERON_0005438,UBERON_0005438,coronary sinus,sinus coronarius,"The short trunk that recieves most of the cardiac veins carrying the blood from the myocardium and delivers it to the right atrium, with the sinoatrial connection occurring between the inferior vena cava and the atrioventricular orifice."
http://purl.obolibrary.org/obo/UBERON_0005623,UBERON_0005623,semi-lunar valve,semilunar valve; semilunar valves,The valves that gate the flow of blood from the ventricles into the aorta and pulmonary trunk.
http://purl.obolibrary.org/obo/UBERON_0005946,UBERON_0005946,outflow tract of atrium,outflow part of atrium,An outflow tract that is part of a cardiac atrium.
http://purl.obolibrary.org/obo/UBERON_0005956,UBERON_0005956,outflow part of left ventricle,aortic vestibule; heart left ventricle outflow tract; left ventricular outflow; left ventricular outflow tract; LVOT; outflow tract of left ventricle; Sibson vestibule; vestibulum aortae,Anterosuperior fibrous portion of the left ventricle that connects to the ascending aorta.
http://purl.obolibrary.org/obo/UBERON_0005965,UBERON_0005965,outflow part of right atrium,main part of right atrium; outflow tract of right atrium,Outflow part of atrium which consists of wall and cavity of the outflow part of right atrium and the tricuspid valve.[FMA].
http://purl.obolibrary.org/obo/UBERON_0005966,UBERON_0005966,outflow part of left atrium,main part of left atrium; outflow tract of left atrium,An outflow tract of atrium that is part of a left atrium.
http://purl.obolibrary.org/obo/UBERON_0005985,UBERON_0005985,coronary vessel,,Any of the arteries or veins that supply blood to the heart or return blood from the heart muscles to the circulation.
http://purl.obolibrary.org/obo/UBERON_0006566,UBERON_0006566,left ventricle myocardium,left ventricular myocardium; myocardium of left ventricle,A myocardium that is part of a left ventricle of a heart.
http://purl.obolibrary.org/obo/UBERON_0006567,UBERON_0006567,right ventricle myocardium,myocardium of right ventricle; right ventricular myocardium,A myocardium that is part of a right ventricle of a heart.
http://purl.obolibrary.org/obo/UBERON_0006958,UBERON_0006958,great vein of heart,great cardiac vein,"The Great Cardiac Vein (left coronary vein) begins at the apex of the heart and ascends along the anterior longitudinal sulcus to the base of the ventricles. It then curves to the left in the coronary sulcus, and reaching the back of the heart, opens into the left extremity of the coronary sinus. It receives tributaries from the left atrium and from both ventricles: one, the left marginal vein, is of considerable size, and ascends along the left margin of the heart."
http://purl.obolibrary.org/obo/UBERON_0009687,UBERON_0009687,middle cardiac vein,lesser cardiac vein; posterior interventricular vein,"The middle cardiac vein commences at the apex of the heart, ascends in the posterior longitudinal sulcus, and ends in the coronary sinus near its right extremity."
http://purl.obolibrary.org/obo/UBERON_0011820,UBERON_0011820,atrioventricular region,,An anatomical junction that divides and overlaps with and atrium and a ventricle in the heart.
http://purl.obolibrary.org/obo/UBERON_0018674,UBERON_0018674,heart vasculature,cardiac vasculature,An interconnected tubular multi-tissue structure that contains fluid that is actively transported around the heart.
http://purl.obolibrary.org/obo/UBERON_0035374,UBERON_0035374,small cardiac vein,right cardiac vein,A vein running parallel to the right coronary artery in the coronary sulcus that drains into the right extremity of the coronary sinus.
http://purl.obolibrary.org/obo/UBERON_0035422,UBERON_0035422,circumflex branch of left coronary artery,circumflex coronary artery; left circumflex branch of left coronary artery; ramus circumflexus (arteria coronaria sinistra),Branch of left coronary artery which runs perpendicular to the anterior interventricular branch of the left coronary artery on the left side of the interventricular sulcus and supplies the left side of the heart.
http://purl.obolibrary.org/obo/UBERON_0035553,UBERON_0035553,left cardiac chamber,,Any chamber of the left side of the heart.
http://purl.obolibrary.org/obo/UBERON_0035554,UBERON_0035554,right cardiac chamber,,Any chamber of the right side of the heart.
