iri,id,name,aka,description
http://id.nlm.nih.gov/mesh/M0009974,M0009974,Heart Valves,"Heart Valve; Valve, Heart; Valves, Heart",Flaps of tissue that prevent regurgitation of BLOOD from the HEART VENTRICLES to the HEART ATRIA or from the PULMONARY ARTERIES or AORTA to the ventricles.
http://id.nlm.nih.gov/mesh/M0009975,M0009975,Heart Ventricles,,The lower right and left chambers of the heart. The right ventricle pumps venous BLOOD into the LUNGS and the left ventricle pumps oxygenated blood into the systemic arterial circulation.
http://id.nlm.nih.gov/mesh/M0013957,M0013957,Mitral Valve,"Mitral Valves; Valve, Mitral; Valves, Mitral",The valve between the left atrium and left ventricle of the heart.
http://id.nlm.nih.gov/mesh/M0014344,M0014344,Myocardium,,"The muscle tissue of the HEART. It is composed of striated, involuntary muscle cells (MYOCYTES, CARDIAC) connected to form the contractile pump to generate blood flow."
http://id.nlm.nih.gov/mesh/M0014351,M0014351,Myofibrils,Myofibril,The long cylindrical contractile organelles of STRIATED MUSCLE cells composed of ACTIN FILAMENTS; MYOSIN filaments; and other proteins organized in arrays of repeating units called SARCOMERES .
http://id.nlm.nih.gov/mesh/M0015833,M0015833,Papillary Muscles,"Muscle, Papillary; Muscles, Papillary; Papillary Muscle","Conical muscular projections from the walls of the cardiac ventricles, attached to the cusps of the atrioventricular valves by the chordae tendineae."
http://id.nlm.nih.gov/mesh/M0016307,M0016307,Pericardium,,"A conical fibro-serous sac surrounding the HEART and the roots of the great vessels (AORTA; VENAE CAVAE; PULMONARY ARTERY). Pericardium consists of two sacs: the outer fibrous pericardium and the inner serous pericardium. The latter consists of an outer parietal layer facing the fibrous pericardium, and an inner visceral layer (epicardium) resting next to the heart, and a pericardial cavity between these two layers."
http://id.nlm.nih.gov/mesh/M0018141,M0018141,Pulmonary Valve,,A valve situated at the entrance to the pulmonary trunk from the right ventricle.
http://id.nlm.nih.gov/mesh/M0018172,M0018172,Purkinje Fibers,,Modified cardiac muscle fibers composing the terminal portion of the heart conduction system.
http://id.nlm.nih.gov/mesh/M0019441,M0019441,Sarcomeres,,"The repeating contractile units of the MYOFIBRIL, delimited by Z bands along its length."
http://id.nlm.nih.gov/mesh/M0019898,M0019898,Sinoatrial Node,"Node, Sinoatrial; Nodes, Sinoatrial; Sinoatrial Nodes","The small mass of modified cardiac muscle fibers located at the junction of the superior vena cava (VENA CAVA, SUPERIOR) and right atrium. Contraction impulses probably start in this node, spread over the atrium (HEART ATRIUM) and are then transmitted by the atrioventricular bundle (BUNDLE OF HIS) to the ventricle (HEART VENTRICLE)."
http://id.nlm.nih.gov/mesh/M0021947,M0021947,Tricuspid Valve,"Tricuspid Valves; Valve, Tricuspid; Valves, Tricuspid",The valve consisting of three cusps situated between the right atrium and right ventricle of the heart.
http://id.nlm.nih.gov/mesh/M0022051,M0022051,Truncus Arteriosus,"Arteriosus, Truncus","The arterial trunk arising from the fetal heart. During development, it divides into AORTA and the PULMONARY ARTERY."
http://id.nlm.nih.gov/mesh/M0328425,M0328425,Atrial Appendage,"Appendage, Atrial; Appendages, Atrial; Atrial Appendages","Ear-shaped appendage of either atrium of the heart. (Dorland, 28th ed)"
http://id.nlm.nih.gov/mesh/M0400427,M0400427,"Myocytes, Cardiac","Cardiac Myocyte; Cardiac Myocytes; Myocyte, Cardiac","Striated muscle cells found in the heart. They are derived from cardiac myoblasts (MYOBLASTS, CARDIAC)."
http://id.nlm.nih.gov/mesh/M0400431,M0400431,"Myoblasts, Cardiac","Cardiac Myoblast; Cardiac Myoblasts; Myoblast, Cardiac","Precursor cells destined to differentiate into cardiac myocytes (MYOCYTES, CARDIAC)."
http://id.nlm.nih.gov/mesh/M0501516,M0501516,Atrial Septum,"Septum, Atrial",The thin membrane-like muscular structure separating the right and the left upper chambers (HEART ATRIA) of a heart.
http://id.nlm.nih.gov/mesh/M0501517,M0501517,Ventricular Septum,"Septum, Ventricular","The muscular structure separating the right and the left lower chambers (HEART VENTRICLES) of the heart. The ventricular septum consists of a very small membranous portion just beneath the AORTIC VALVE, and a large thick muscular portion consisting of three sections including the inlet septum, the trabecular septum, and the outlet septum."
http://id.nlm.nih.gov/mesh/M0501519,M0501519,Endocardial Cushions,,"A fetal heart structure that is the bulging areas in the cardiac septum between the HEART ATRIA and the HEART VENTRICLES. During development, growth and fusion of endocardial cushions at midline forms the two atrioventricular canals, the sites for future TRICUSPID VALVE and BICUSPID VALVE."
