id,content
M0009974,"Heart Valvesalso known as Heart Valve; Valve, Heart; Valves, Heart Flaps of tissue that prevent regurgitation of BLOOD from the HEART VENTRICLES to the HEART ATRIA or from the PULMONARY ARTERIES or AORTA to the ventricles."
M0009975,Heart Ventricles The lower right and left chambers of the heart. The right ventricle pumps venous BLOOD into the LUNGS and the left ventricle pumps oxygenated blood into the systemic arterial circulation.
M0013957,"Mitral Valvealso known as Mitral Valves; Valve, Mitral; Valves, Mitral The valve between the left atrium and left ventricle of the heart."
M0014344,"Myocardium The muscle tissue of the HEART. It is composed of striated, involuntary muscle cells (MYOCYTES, CARDIAC) connected to form the contractile pump to generate blood flow."
M0014351,Myofibrilsalso known as Myofibril The long cylindrical contractile organelles of STRIATED MUSCLE cells composed of ACTIN FILAMENTS; MYOSIN filaments; and other proteins organized in arrays of repeating units called SARCOMERES .
M0015833,"Papillary Musclesalso known as Muscle, Papillary; Muscles, Papillary; Papillary Muscle Conical muscular projections from the walls of the cardiac ventricles, attached to the cusps of the atrioventricular valves by the chordae tendineae."
M0016307,"Pericardium A conical fibro-serous sac surrounding the HEART and the roots of the great vessels (AORTA; VENAE CAVAE; PULMONARY ARTERY). Pericardium consists of two sacs: the outer fibrous pericardium and the inner serous pericardium. The latter consists of an outer parietal layer facing the fibrous pericardium, and an inner visceral layer (epicardium) resting next to the heart, and a pericardial cavity between these two layers."
M0018141,Pulmonary Valve A valve situated at the entrance to the pulmonary trunk from the right ventricle.
M0018172,Purkinje Fibers Modified cardiac muscle fibers composing the terminal portion of the heart conduction system.
M0019441,"Sarcomeres The repeating contractile units of the MYOFIBRIL, delimited by Z bands along its length."
M0019898,"Sinoatrial Nodealso known as Node, Sinoatrial; Nodes, Sinoatrial; Sinoatrial Nodes The small mass of modified cardiac muscle fibers located at the junction of the superior vena cava (VENA CAVA, SUPERIOR) and right atrium. Contraction impulses probably start in this node, spread over the atrium (HEART ATRIUM) and are then transmitted by the atrioventricular bundle (BUNDLE OF HIS) to the ventricle (HEART VENTRICLE)."
M0021947,"Tricuspid Valvealso known as Tricuspid Valves; Valve, Tricuspid; Valves, Tricuspid The valve consisting of three cusps situated between the right atrium and right ventricle of the heart."
M0022051,"Truncus Arteriosusalso known as Arteriosus, Truncus The arterial trunk arising from the fetal heart. During development, it divides into AORTA and the PULMONARY ARTERY."
M0328425,"Atrial Appendagealso known as Appendage, Atrial; Appendages, Atrial; Atrial Appendages Ear-shaped appendage of either atrium of the heart. (Dorland, 28th ed)"
M0400427,"Myocytes, Cardiacalso known as Cardiac Myocyte; Cardiac Myocytes; Myocyte, Cardiac Striated muscle cells found in the heart. They are derived from cardiac myoblasts (MYOBLASTS, CARDIAC)."
M0400431,"Myoblasts, Cardiacalso known as Cardiac Myoblast; Cardiac Myoblasts; Myoblast, Cardiac Precursor cells destined to differentiate into cardiac myocytes (MYOCYTES, CARDIAC)."
M0501516,"Atrial Septumalso known as Septum, Atrial The thin membrane-like muscular structure separating the right and the left upper chambers (HEART ATRIA) of a heart."
M0501517,"Ventricular Septumalso known as Septum, Ventricular The muscular structure separating the right and the left lower chambers (HEART VENTRICLES) of the heart. The ventricular septum consists of a very small membranous portion just beneath the AORTIC VALVE, and a large thick muscular portion consisting of three sections including the inlet septum, the trabecular septum, and the outlet septum."
M0501519,"Endocardial Cushions A fetal heart structure that is the bulging areas in the cardiac septum between the HEART ATRIA and the HEART VENTRICLES. During development, growth and fusion of endocardial cushions at midline forms the two atrioventricular canals, the sites for future TRICUSPID VALVE and BICUSPID VALVE."
